Classifier,Strategy,Mean Test Score (F1),Execution Time (s),Best Parameters,Best Estimator
XGBoost,OVR,0.8863320275342271,710.3583352565765,"{'estimator__learning_rate': 0.05, 'estimator__max_depth': 5, 'estimator__min_child_weight': 1, 'estimator__n_estimators': 300, 'estimator__random_state': 20, 'estimator__subsample': 0.8}","OneVsRestClassifier(estimator=XGBClassifier(base_score=None, booster=None,
                                            callbacks=None,
                                            colsample_bylevel=None,
                                            colsample_bynode=None,
                                            colsample_bytree=None, device=None,
                                            early_stopping_rounds=None,
                                            enable_categorical=False,
                                            eval_metric=None,
                                            feature_types=None, gamma=None,
                                            grow_policy=None,
                                            importance_type=None,
                                            interaction_constraints=None,
                                            learning_rate=0.05, max_bin=None,
                                            max_cat_threshold=None,
                                            max_cat_to_onehot=None,
                                            max_delta_step=None, max_depth=5,
                                            max_leaves=None, min_child_weight=1,
                                            missing=nan,
                                            monotone_constraints=None,
                                            multi_strategy=None,
                                            n_estimators=300, n_jobs=None,
                                            num_parallel_tree=None,
                                            random_state=20, ...))"
XGBoost,OVO,0.8912794364639159,710.3583352565765,"{'estimator__learning_rate': 0.2, 'estimator__max_depth': 3, 'estimator__min_child_weight': 1, 'estimator__n_estimators': 100, 'estimator__random_state': 20, 'estimator__subsample': 1.0}","OneVsOneClassifier(estimator=XGBClassifier(base_score=None, booster=None,
                                           callbacks=None,
                                           colsample_bylevel=None,
                                           colsample_bynode=None,
                                           colsample_bytree=None, device=None,
                                           early_stopping_rounds=None,
                                           enable_categorical=False,
                                           eval_metric=None, feature_types=None,
                                           gamma=None, grow_policy=None,
                                           importance_type=None,
                                           interaction_constraints=None,
                                           learning_rate=0.2, max_bin=None,
                                           max_cat_threshold=None,
                                           max_cat_to_onehot=None,
                                           max_delta_step=None, max_depth=3,
                                           max_leaves=None, min_child_weight=1,
                                           missing=nan,
                                           monotone_constraints=None,
                                           multi_strategy=None,
                                           n_estimators=100, n_jobs=None,
                                           num_parallel_tree=None,
                                           random_state=20, ...))"
