Classifier,Strategy,Mean Test Score (F1),Execution Time (s),Best Parameters,Best Estimator
Random Forest,OVR,0.9215266029928332,1469.0711970329285,"{'estimator__class_weight': 'balanced', 'estimator__criterion': 'entropy', 'estimator__max_depth': 10, 'estimator__max_features': None, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 2, 'estimator__random_state': 20}","OneVsRestClassifier(estimator=RandomForestClassifier(class_weight='balanced',
                                                     criterion='entropy',
                                                     max_depth=10,
                                                     max_features=None,
                                                     min_samples_leaf=2,
                                                     random_state=20))"
Random Forest,OVO,0.9218162309084473,1469.0711970329285,"{'estimator__class_weight': 'balanced', 'estimator__criterion': 'entropy', 'estimator__max_depth': 10, 'estimator__max_features': None, 'estimator__min_samples_leaf': 1, 'estimator__min_samples_split': 5, 'estimator__random_state': 20}","OneVsOneClassifier(estimator=RandomForestClassifier(class_weight='balanced',
                                                    criterion='entropy',
                                                    max_depth=10,
                                                    max_features=None,
                                                    min_samples_split=5,
                                                    random_state=20))"
